project_code,title,description,state,district,constituency,block_or_taluk,village_or_ward,latitude,longitude,mp_name,mp_house,sector,status,sanction_date,expected_completion_date,actual_completion_date,agency_id,agency_name,agency_type,sanctioned_amount,released_amount,expenditure_amount,unspent_balance,financial_progress_pct,physical_progress_pct,output_unit,physical_quantity,cost_per_unit,archetype,data_attribution
MPLAD-RA-JAI-01002,Construction of modern cremation shed with solar lighting and water facility at Sanganer,"Administrative sanction under MPLADS for: Construction of modern cremation shed with solar lighting and water facility at Sanganer. Implemented by Public Works Department (Div-1) for public benefit in Sanganer, Jaipur.",Rajasthan,Jaipur,Jaipur (LS-07),Sanganer,Sanganer,27.00419,75.812414,Manju Sharma,Lok Sabha,Community Infrastructure,COMPLETED,2024-01-20,2025-01-09,2025-01-11,AGY-PWD-JAI,Public Works Department (Div-1),Line Department,9500000,8360000.0,6935000.0,1425000.0,73.0,100.0,community_hall,3.0,3166666.67,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-BI-PAT-01267,Installation of Deep Borewell with Solar Dual Pump and overhead storage tank at Danapur,"Administrative sanction under MPLADS for: Installation of Deep Borewell with Solar Dual Pump and overhead storage tank at Danapur. Implemented by Vanguard Infra Projects Pvt Ltd for public benefit in Danapur, Patna.",Bihar,Patna,Patna Sahib (LS-30),Bakhtiarpur,Danapur,25.570699,85.075604,Ravi Shankar Prasad,Lok Sabha,Drinking Water Supply,IN_PROGRESS,2024-08-18,2025-06-25,,AGY-CONTR-101-PAT,Vanguard Infra Projects Pvt Ltd,Registered Contractor,2600000,2496000.0,2418000.0,78000.0,93.0,90.5,water_installation,4.4,590909.09,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-RA-JAI-01456,"Construction of modern girls toilet block and sanitation facility at Primary School, Sanganer","Administrative sanction under MPLADS for: Construction of modern girls toilet block and sanitation facility at Primary School, Sanganer. Implemented by Shree Balaji Civic Builders for public benefit in Sanganer, Jaipur.",Rajasthan,Jaipur,Jaipur (LS-07),Sanganer,Sanganer,26.950101,75.758733,Manju Sharma,Lok Sabha,Education & School Infrastructure,IN_PROGRESS,2024-07-07,2025-01-31,,AGY-CONTR-103-JAI,Shree Balaji Civic Builders,Registered Contractor,5330000,4922297.45,4683807.3,238490.15,87.9,14.6,classroom_block,3.4,1567647.06,HIGH_SPEND_LOW_PROGRESS,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-MA-IND-01145,Setting up of Community RO Water Purification Plant with distribution kiosk at Mhow,"Administrative sanction under MPLADS for: Setting up of Community RO Water Purification Plant with distribution kiosk at Mhow. Implemented by Vanguard Infra Projects Pvt Ltd for public benefit in Mhow, Indore.",Madhya Pradesh,Indore,Indore (LS-26),Mhow,Mhow,22.773054,75.902878,Shankar Lalwani,Lok Sabha,Drinking Water Supply,IN_PROGRESS,2024-01-14,2024-10-12,,AGY-CONTR-101-IND,Vanguard Infra Projects Pvt Ltd,Registered Contractor,2490000,2490000.0,1942200.0,547800.0,78.0,81.2,water_installation,4.8,518750.0,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-RA-JAI-01077,Bituminous macadam surfacing of rural connectivity pathway near Jhotwara main square,"Administrative sanction under MPLADS for: Bituminous macadam surfacing of rural connectivity pathway near Jhotwara main square. Implemented by Municipal Corporation Public Infrastructure Cell for public benefit in Jhotwara, Jaipur.",Rajasthan,Jaipur,Jaipur (LS-07),Sanganer,Jhotwara,26.87979,75.914461,Manju Sharma,Lok Sabha,Roads & Pathways,IN_PROGRESS,2023-11-28,2024-10-21,,AGY-MUNC-JAI,Municipal Corporation Public Infrastructure Cell,Municipal Corporation,6240000,5740800.0,4555200.0,1185600.0,73.0,88.4,kilometer,2.2,2836363.64,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-BI-PAT-01250,Construction of Cement Concrete (CC) Road with side drains from Fatuha to Danapur,"Administrative sanction under MPLADS for: Construction of Cement Concrete (CC) Road with side drains from Fatuha to Danapur. Implemented by Shree Balaji Civic Builders for public benefit in Fatuha, Patna.",Bihar,Patna,Patna Sahib (LS-30),Bakhtiarpur,Fatuha,25.583099,85.137047,Ravi Shankar Prasad,Lok Sabha,Roads & Pathways,IN_PROGRESS,2024-07-07,2025-03-26,,AGY-CONTR-103-PAT,Shree Balaji Civic Builders,Registered Contractor,4180000,3971000.0,3302200.0,668800.0,79.0,80.3,kilometer,1.6,2612500.0,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-WE-DAR-01581,Paving of interlocking paver block street in Sukhiapokhri Ward 4,"Administrative sanction under MPLADS for: Paving of interlocking paver block street in Sukhiapokhri Ward 4. Implemented by State Rural Water Supply & Sanitation Board for public benefit in Sukhiapokhri, Darjeeling.",West Bengal,Darjeeling,Darjeeling (LS-04),Kurseong,Sukhiapokhri,27.031313,88.330836,Raju Bista,Lok Sabha,Roads & Pathways,IN_PROGRESS,2023-11-29,2024-09-26,,AGY-JAL-DAR,State Rural Water Supply & Sanitation Board,Line Department,9880000,8002800.0,-50000.0,8052800.0,-0.5,92.7,kilometer,3.7,2670270.27,DATA_INCONSISTENT,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-MA-PUN-01065,"Installation of rooftop solar photovoltaic system at Model Senior Secondary School, Shirur","Administrative sanction under MPLADS for: Installation of rooftop solar photovoltaic system at Model Senior Secondary School, Shirur. Implemented by Public Works Department (Div-1) for public benefit in Shirur, Pune.",Maharashtra,Pune,Pune (LS-34),Haveli,Shirur,18.567982,73.810663,Murlidhar Mohol,Lok Sabha,Education & School Infrastructure,IN_PROGRESS,2025-01-06,2025-08-14,,AGY-PWD-PUN,Public Works Department (Div-1),Line Department,5110000,4752300.0,3679200.0,1073100.0,72.0,82.5,classroom_block,3.4,1502941.18,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-MA-PUN-01546,Construction of modern cremation shed with solar lighting and water facility at Haveli,"Administrative sanction under MPLADS for: Construction of modern cremation shed with solar lighting and water facility at Haveli. Implemented by Vanguard Infra Projects Pvt Ltd for public benefit in Haveli, Pune.",Maharashtra,Pune,Pune (LS-34),Haveli,Haveli,18.576521,73.990263,Murlidhar Mohol,Lok Sabha,Community Infrastructure,IN_PROGRESS,2024-11-01,2025-07-23,,AGY-CONTR-101-PUN,Vanguard Infra Projects Pvt Ltd,Registered Contractor,18870000,17737800.0,13775100.0,3962700.0,73.0,94.5,community_hall,4.3,4388372.09,AGENCY_MONOPOLY,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-MA-PUN-01574,"Construction of 2 additional smart classroom blocks at Government Higher Secondary School, Khadakwasla","Administrative sanction under MPLADS for: Construction of 2 additional smart classroom blocks at Government Higher Secondary School, Khadakwasla. Implemented by Gram Panchayat Development Committee for public benefit in Khadakwasla, Pune.",Maharashtra,Pune,Pune (LS-34),Haveli,Khadakwasla,18.590223,73.886733,Murlidhar Mohol,Lok Sabha,Education & School Infrastructure,IN_PROGRESS,2024-01-20,2024-07-28,,AGY-PRI-PUN,Gram Panchayat Development Committee,Panchayati Raj,2350000,2021000.0,1974000.0,47000.0,84.0,125.0,classroom_block,2.0,1175000.0,DATA_INCONSISTENT,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-MA-PUN-01560,Construction of modern cremation shed with solar lighting and water facility at Khadakwasla,"Administrative sanction under MPLADS for: Construction of modern cremation shed with solar lighting and water facility at Khadakwasla. Implemented by Vanguard Infra Projects Pvt Ltd for public benefit in Khadakwasla, Pune.",Maharashtra,Pune,Pune (LS-34),Haveli,Khadakwasla,18.506068,73.755972,Murlidhar Mohol,Lok Sabha,Community Infrastructure,IN_PROGRESS,2025-01-04,2025-10-28,,AGY-CONTR-101-PUN,Vanguard Infra Projects Pvt Ltd,Registered Contractor,4630000,4213300.0,3842900.0,370400.0,83.0,93.6,community_hall,1.7000000000000002,2723529.41,AGENCY_MONOPOLY,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-KA-BEN-01089,Development of Rural Sports Playground with boundary wall and athletic track at Devanahalli,"Administrative sanction under MPLADS for: Development of Rural Sports Playground with boundary wall and athletic track at Devanahalli. Implemented by Gram Panchayat Development Committee for public benefit in Devanahalli, Bengaluru Rural.",Karnataka,Bengaluru Rural,Bengaluru Rural (LS-23),Devanahalli,Devanahalli,13.279698,77.542124,C. N. Manjunath,Lok Sabha,Community Infrastructure,IN_PROGRESS,2026-03-30,2026-12-13,,AGY-PRI-BEN,Gram Panchayat Development Committee,Panchayati Raj,5470000,3063200.0,2953800.0,109400.0,54.0,45.3,community_hall,1.6,3418750.0,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-RA-JAI-01519,Construction of Cement Concrete (CC) Road and side drains from Panchayat Bhawan to Main Gate in Bassi,"Administrative sanction under MPLADS for: Upgradation and modernization of Primary Health Sub-Centre with emergency maternity unit at Amer. Implemented by Municipal Corporation Public Infrastructure Cell for public benefit in Amer, Jaipur.",Rajasthan,Jaipur,Jaipur (LS-07),Sanganer,Bassi,26.874064,75.785439,Manju Sharma,Lok Sabha,Roads & Pathways,IN_PROGRESS,2024-09-05,2025-04-19,,AGY-MUNC-JAI,Municipal Corporation Public Infrastructure Cell,Municipal Corporation,4350000,5930100.0,5391000.0,539100.0,90.0,88.9,facility_center,2.0,2175000.0,DUPLICATE_PAIR,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-WE-DAR-01458,Desilting and embankment strengthening of drainage canal serving agricultural fields in Kalimpong,"Administrative sanction under MPLADS for: Desilting and embankment strengthening of drainage canal serving agricultural fields in Kalimpong. Implemented by District Rural Development Agency for public benefit in Kalimpong, Darjeeling.",West Bengal,Darjeeling,Darjeeling (LS-04),Kurseong,Kalimpong,27.121915,88.337326,Raju Bista,Lok Sabha,Irrigation & Flood Control,IN_PROGRESS,2025-11-02,2026-09-22,,AGY-DRDA-DAR,District Rural Development Agency,Line Department,3110000,2844055.3,2640370.3,203685.0,84.9,6.2,check_dam,1.2,2591666.67,HIGH_SPEND_LOW_PROGRESS,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-UT-VAR-01364,Laying of piped drinking water distribution network for scheduled caste colony in Kashi,"Administrative sanction under MPLADS for: Laying of piped drinking water distribution network for scheduled caste colony in Kashi. Implemented by Public Works Department (Div-1) for public benefit in Kashi, Varanasi.",Uttar Pradesh,Varanasi,Varanasi (LS-77),Rohaniya,Kashi,25.337681,83.030255,Narendra Modi,Lok Sabha,Drinking Water Supply,IN_PROGRESS,2024-07-31,2025-07-26,,AGY-PWD-VAR,Public Works Department (Div-1),Line Department,1630000,1564800.0,1352900.0,211900.0,83.0,89.5,water_installation,4.1,397560.98,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-MA-IND-01394,Upgradation and modernization of Primary Health Sub-Centre with emergency maternity unit at Betma,"Administrative sanction under MPLADS for: Upgradation and modernization of Primary Health Sub-Centre with emergency maternity unit at Betma. Implemented by Public Works Department (Div-1) for public benefit in Betma, Indore.",Madhya Pradesh,Indore,Indore (LS-26),Mhow,Betma,22.744239,75.922827,Shankar Lalwani,Lok Sabha,Health & Sanitation,IN_PROGRESS,2025-09-23,2026-06-18,,AGY-PWD-IND,Public Works Department (Div-1),Line Department,14490000,13185900.0,11012400.0,2173500.0,76.0,82.2,facility_center,4.2,3450000.0,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-BI-PAT-01329,"Construction of 2 additional smart classroom blocks at Government Higher Secondary School, Bakhtiarpur","Administrative sanction under MPLADS for: Construction of 2 additional smart classroom blocks at Government Higher Secondary School, Bakhtiarpur. Implemented by Apex Engineering & Construction Syndicate for public benefit in Bakhtiarpur, Patna.",Bihar,Patna,Patna Sahib (LS-30),Bakhtiarpur,Bakhtiarpur,25.616063,85.229072,Ravi Shankar Prasad,Lok Sabha,Education & School Infrastructure,IN_PROGRESS,2026-01-06,2026-08-21,,AGY-CONTR-102-PAT,Apex Engineering & Construction Syndicate,Registered Contractor,2070000,1635300.0,1262700.0,372600.0,61.0,78.1,classroom_block,1.2,1725000.0,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-RA-JAI-01517,Construction of Cement Concrete (CC) Road and side drains from Panchayat Bhawan to Main Gate in Sanganer,"Administrative sanction under MPLADS for: Construction of Check Dam across local seasonal stream for groundwater recharge at Jhotwara. Implemented by Vanguard Infra Projects Pvt Ltd for public benefit in Jhotwara, Jaipur.",Rajasthan,Jaipur,Jaipur (LS-07),Sanganer,Sanganer,26.868898,75.856498,Manju Sharma,Lok Sabha,Roads & Pathways,IN_PROGRESS,2024-03-20,2025-02-04,,AGY-CONTR-101-JAI,Vanguard Infra Projects Pvt Ltd,Registered Contractor,4900000,8128200.0,6992000.0,1136200.0,80.0,93.3,check_dam,4.6,2450000.0,DUPLICATE_PAIR,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-TA-COI-01132,Setting up of Community RO Water Purification Plant with distribution kiosk at Annur,"Administrative sanction under MPLADS for: Setting up of Community RO Water Purification Plant with distribution kiosk at Annur. Implemented by Zilla Parishad Engineering Cell for public benefit in Annur, Coimbatore.",Tamil Nadu,Coimbatore,Coimbatore (LS-20),Sulur,Annur,11.028938,77.044337,Ganapathi P. Rajkumar,Lok Sabha,Drinking Water Supply,IN_PROGRESS,2026-01-02,2026-08-14,,AGY-ZP-COI,Zilla Parishad Engineering Cell,Panchayati Raj,1720000,1685600.0,1307200.0,378400.0,76.0,87.9,water_installation,4.5,382222.22,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-TA-COI-01035,Setting up of Community RO Water Purification Plant with distribution kiosk at Pollachi,"Administrative sanction under MPLADS for: Setting up of Community RO Water Purification Plant with distribution kiosk at Pollachi. Implemented by Municipal Corporation Public Infrastructure Cell for public benefit in Pollachi, Coimbatore.",Tamil Nadu,Coimbatore,Coimbatore (LS-20),Sulur,Pollachi,11.079813,77.037961,Ganapathi P. Rajkumar,Lok Sabha,Drinking Water Supply,IN_PROGRESS,2024-03-17,2024-12-11,,AGY-MUNC-COI,Municipal Corporation Public Infrastructure Cell,Municipal Corporation,1410000,1240800.0,972900.0,267900.0,69.0,94.9,water_installation,2.6,542307.69,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-UT-VAR-01154,Creation of Farmer Training & Seed Storage Facility near agricultural marketing yard at Sewapuri,"Administrative sanction under MPLADS for: Creation of Farmer Training & Seed Storage Facility near agricultural marketing yard at Sewapuri. Implemented by Municipal Corporation Public Infrastructure Cell for public benefit in Sewapuri, Varanasi.",Uttar Pradesh,Varanasi,Varanasi (LS-77),Rohaniya,Sewapuri,25.278363,82.980917,Narendra Modi,Lok Sabha,Community Infrastructure,IN_PROGRESS,2024-03-04,2025-02-25,,AGY-MUNC-VAR,Municipal Corporation Public Infrastructure Cell,Municipal Corporation,17000000,14620000.0,12580000.0,2040000.0,74.0,82.8,community_hall,4.9,3469387.76,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-WE-DAR-01399,Construction of Multi-Purpose Community Hall and Cultural Center for public gatherings at Naxalbari,"Administrative sanction under MPLADS for: Construction of Multi-Purpose Community Hall and Cultural Center for public gatherings at Naxalbari. Implemented by District Rural Development Agency for public benefit in Naxalbari, Darjeeling.",West Bengal,Darjeeling,Darjeeling (LS-04),Kurseong,Naxalbari,27.0365,88.205418,Raju Bista,Lok Sabha,Community Infrastructure,IN_PROGRESS,2025-06-07,2026-02-05,,AGY-DRDA-DAR,District Rural Development Agency,Line Department,7140000,6069000.0,5640600.0,428400.0,79.0,93.6,community_hall,2.0,3570000.0,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-BI-PAT-01463,Setting up of Community RO Water Purification Plant with distribution kiosk at Bakhtiarpur,"Administrative sanction under MPLADS for: Setting up of Community RO Water Purification Plant with distribution kiosk at Bakhtiarpur. Implemented by Shree Balaji Civic Builders for public benefit in Bakhtiarpur, Patna.",Bihar,Patna,Patna Sahib (LS-30),Bakhtiarpur,Bakhtiarpur,25.634184,85.2103,Ravi Shankar Prasad,Lok Sabha,Drinking Water Supply,IN_PROGRESS,2024-04-16,2024-11-13,,AGY-CONTR-103-PAT,Shree Balaji Civic Builders,Registered Contractor,660000,629030.05,615738.22,13291.83,93.3,12.6,water_installation,2.2,300000.0,HIGH_SPEND_LOW_PROGRESS,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-UT-VAR-01130,Construction of gabion flood protection retaining wall along vulnerable bank in Shivpur,"Administrative sanction under MPLADS for: Construction of gabion flood protection retaining wall along vulnerable bank in Shivpur. Implemented by Vanguard Infra Projects Pvt Ltd for public benefit in Shivpur, Varanasi.",Uttar Pradesh,Varanasi,Varanasi (LS-77),Rohaniya,Shivpur,25.339424,82.916936,Narendra Modi,Lok Sabha,Irrigation & Flood Control,IN_PROGRESS,2026-01-30,2027-01-23,,AGY-CONTR-101-VAR,Vanguard Infra Projects Pvt Ltd,Registered Contractor,6380000,3700400.0,3445200.0,255200.0,54.0,43.9,check_dam,2.5,2552000.0,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-UT-VAR-01323,Laying of underground irrigation pipeline connecting minor irrigation tank to farmlands at Pindra,"Administrative sanction under MPLADS for: Laying of underground irrigation pipeline connecting minor irrigation tank to farmlands at Pindra. Implemented by Public Works Department (Div-1) for public benefit in Pindra, Varanasi.",Uttar Pradesh,Varanasi,Varanasi (LS-77),Rohaniya,Pindra,25.352047,82.999069,Narendra Modi,Lok Sabha,Irrigation & Flood Control,IN_PROGRESS,2024-02-18,2024-09-14,,AGY-PWD-VAR,Public Works Department (Div-1),Line Department,2910000,2735400.0,2066100.0,669300.0,71.0,83.5,check_dam,1.4,2078571.43,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-WE-DAR-01305,Procurement of Basic Life Support Mobile Ambulance van for community health services in Darjeeling,"Administrative sanction under MPLADS for: Procurement of Basic Life Support Mobile Ambulance van for community health services in Darjeeling. Implemented by State Rural Water Supply & Sanitation Board for public benefit in Naxalbari, Darjeeling.",West Bengal,Darjeeling,Darjeeling (LS-04),Kurseong,Naxalbari,26.993123,88.238878,Raju Bista,Lok Sabha,Health & Sanitation,IN_PROGRESS,2025-11-11,2026-09-09,,AGY-JAL-DAR,State Rural Water Supply & Sanitation Board,Line Department,6580000,5856200.0,5724600.0,131600.0,87.0,72.0,facility_center,2.9,2268965.52,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-WE-DAR-01146,Upgradation and modernization of Primary Health Sub-Centre with emergency maternity unit at Siliguri,"Administrative sanction under MPLADS for: Upgradation and modernization of Primary Health Sub-Centre with emergency maternity unit at Siliguri. Implemented by Municipal Corporation Public Infrastructure Cell for public benefit in Siliguri, Darjeeling.",West Bengal,Darjeeling,Darjeeling (LS-04),Kurseong,Siliguri,27.133781,88.221811,Raju Bista,Lok Sabha,Health & Sanitation,IN_PROGRESS,2024-05-27,2025-02-02,,AGY-MUNC-DAR,Municipal Corporation Public Infrastructure Cell,Municipal Corporation,10790000,8847800.0,8416200.0,431600.0,78.0,99.9,facility_center,3.8,2839473.68,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-RA-JAI-01424,Rejuvenation of traditional percolation tank and public drinking well at Jhotwara,"Administrative sanction under MPLADS for: Rejuvenation of traditional percolation tank and public drinking well at Jhotwara. Implemented by District Rural Development Agency for public benefit in Jhotwara, Jaipur. (Contains specialized premium design parameters and expedited specifications).",Rajasthan,Jaipur,Jaipur (LS-07),Sanganer,Jhotwara,26.978707,75.766789,Manju Sharma,Lok Sabha,Drinking Water Supply,IN_PROGRESS,2026-01-20,2026-10-13,,AGY-DRDA-JAI,District Rural Development Agency,Line Department,3970000,3573000.0,3037050.0,535950.0,76.5,60.9,water_installation,3.1,1280645.16,COST_OUTLIER,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-BI-PAT-01314,Construction of Cement Concrete (CC) Road with side drains from Danapur to Bakhtiarpur,"Administrative sanction under MPLADS for: Construction of Cement Concrete (CC) Road with side drains from Danapur to Bakhtiarpur. Implemented by Zilla Parishad Engineering Cell for public benefit in Danapur, Patna.",Bihar,Patna,Patna Sahib (LS-30),Bakhtiarpur,Danapur,25.641686,85.160286,Ravi Shankar Prasad,Lok Sabha,Roads & Pathways,IN_PROGRESS,2025-10-02,2026-05-30,,AGY-ZP-PAT,Zilla Parishad Engineering Cell,Panchayati Raj,10200000,9384000.0,7854000.0,1530000.0,77.0,89.5,kilometer,4.8,2125000.0,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-BI-PAT-01398,"Construction of modern girls toilet block and sanitation facility at Primary School, Danapur","Administrative sanction under MPLADS for: Construction of modern girls toilet block and sanitation facility at Primary School, Danapur. Implemented by Zilla Parishad Engineering Cell for public benefit in Danapur, Patna.",Bihar,Patna,Patna Sahib (LS-30),Bakhtiarpur,Danapur,25.678614,85.159953,Ravi Shankar Prasad,Lok Sabha,Education & School Infrastructure,IN_PROGRESS,2025-05-02,2025-12-25,,AGY-ZP-PAT,Zilla Parishad Engineering Cell,Panchayati Raj,6410000,5897200.0,4871600.0,1025600.0,76.0,96.2,classroom_block,3.6,1780555.56,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-MA-PUN-01554,Construction of gabion flood protection retaining wall along vulnerable bank in Shirur,"Administrative sanction under MPLADS for: Construction of gabion flood protection retaining wall along vulnerable bank in Shirur. Implemented by Vanguard Infra Projects Pvt Ltd for public benefit in Shirur, Pune.",Maharashtra,Pune,Pune (LS-34),Haveli,Shirur,18.555936,73.843284,Murlidhar Mohol,Lok Sabha,Irrigation & Flood Control,IN_PROGRESS,2025-10-24,2026-08-07,,AGY-CONTR-101-PUN,Vanguard Infra Projects Pvt Ltd,Registered Contractor,7050000,6768000.0,6486000.0,282000.0,92.0,93.5,check_dam,3.2,2203125.0,AGENCY_MONOPOLY,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-MA-IND-01093,Creation of Farmer Training & Seed Storage Facility near agricultural marketing yard at Mhow,"Administrative sanction under MPLADS for: Creation of Farmer Training & Seed Storage Facility near agricultural marketing yard at Mhow. Implemented by Vanguard Infra Projects Pvt Ltd for public benefit in Mhow, Indore.",Madhya Pradesh,Indore,Indore (LS-26),Mhow,Mhow,22.719858,75.902328,Shankar Lalwani,Lok Sabha,Community Infrastructure,IN_PROGRESS,2024-07-14,2025-06-12,,AGY-CONTR-101-IND,Vanguard Infra Projects Pvt Ltd,Registered Contractor,3430000,3189900.0,2675400.0,514500.0,78.0,94.3,community_hall,1.2,2858333.33,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-WE-DAR-01264,Paving of interlocking paver block street in Kurseong Ward 4,"Administrative sanction under MPLADS for: Paving of interlocking paver block street in Kurseong Ward 4. Implemented by District Rural Development Agency for public benefit in Kurseong, Darjeeling.",West Bengal,Darjeeling,Darjeeling (LS-04),Kurseong,Kurseong,27.144637,88.225582,Raju Bista,Lok Sabha,Roads & Pathways,IN_PROGRESS,2026-05-02,2026-12-19,,AGY-DRDA-DAR,District Rural Development Agency,Line Department,11400000,4104000.0,3762000.0,342000.0,33.0,37.7,kilometer,4.1,2780487.8,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-UT-VAR-01454,Laying of underground irrigation pipeline connecting minor irrigation tank to farmlands at Pindra,"Administrative sanction under MPLADS for: Laying of underground irrigation pipeline connecting minor irrigation tank to farmlands at Pindra. Implemented by Zilla Parishad Engineering Cell for public benefit in Pindra, Varanasi.",Uttar Pradesh,Varanasi,Varanasi (LS-77),Rohaniya,Pindra,25.34457,83.080042,Narendra Modi,Lok Sabha,Irrigation & Flood Control,IN_PROGRESS,2025-09-03,2026-03-12,,AGY-ZP-VAR,Zilla Parishad Engineering Cell,Panchayati Raj,6990000,6422932.39,5990689.48,432242.91,85.7,14.2,check_dam,2.7,2588888.89,HIGH_SPEND_LOW_PROGRESS,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-UT-VAR-01582,Creation of Farmer Training & Seed Storage Facility near agricultural marketing yard at Rohaniya,"Administrative sanction under MPLADS for: Creation of Farmer Training & Seed Storage Facility near agricultural marketing yard at Rohaniya. Implemented by Zilla Parishad Engineering Cell for public benefit in Rohaniya, Varanasi.",Uttar Pradesh,Varanasi,Varanasi (LS-77),Rohaniya,Rohaniya,25.358966,82.995884,Narendra Modi,Lok Sabha,Community Infrastructure,IN_PROGRESS,2024-06-27,2025-06-02,,AGY-ZP-VAR,Zilla Parishad Engineering Cell,Panchayati Raj,6940000,6037800.0,4719200.0,1318600.0,68.0,125.0,community_hall,2.0,3470000.0,DATA_INCONSISTENT,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-RA-JAI-01115,Laying of piped drinking water distribution network for scheduled caste colony in Amer,"Administrative sanction under MPLADS for: Laying of piped drinking water distribution network for scheduled caste colony in Amer. Implemented by Gram Panchayat Development Committee for public benefit in Amer, Jaipur.",Rajasthan,Jaipur,Jaipur (LS-07),Sanganer,Amer,26.994125,75.917767,Manju Sharma,Lok Sabha,Drinking Water Supply,IN_PROGRESS,2023-12-05,2024-08-23,,AGY-PRI-JAI,Gram Panchayat Development Committee,Panchayati Raj,400000,396000.0,328000.0,68000.0,82.0,81.0,water_installation,1.1,363636.36,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-MA-PUN-01136,Laying of piped drinking water distribution network for scheduled caste colony in Khadakwasla,"Administrative sanction under MPLADS for: Laying of piped drinking water distribution network for scheduled caste colony in Khadakwasla. Implemented by District Rural Development Agency for public benefit in Khadakwasla, Pune.",Maharashtra,Pune,Pune (LS-34),Haveli,Khadakwasla,18.535694,73.81446,Murlidhar Mohol,Lok Sabha,Drinking Water Supply,IN_PROGRESS,2024-06-04,2024-12-08,,AGY-DRDA-PUN,District Rural Development Agency,Line Department,1760000,1724800.0,1496000.0,228800.0,85.0,98.1,water_installation,3.2,550000.0,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-TA-COI-01375,Construction of Multi-Purpose Community Hall and Cultural Center for public gatherings at Annur,"Administrative sanction under MPLADS for: Construction of Multi-Purpose Community Hall and Cultural Center for public gatherings at Annur. Implemented by Gram Panchayat Development Committee for public benefit in Annur, Coimbatore.",Tamil Nadu,Coimbatore,Coimbatore (LS-20),Sulur,Annur,10.975372,76.90268,Ganapathi P. Rajkumar,Lok Sabha,Community Infrastructure,IN_PROGRESS,2025-06-30,2026-02-28,,AGY-PRI-COI,Gram Panchayat Development Committee,Panchayati Raj,8760000,8497200.0,8322000.0,175200.0,95.0,97.2,community_hall,3.1,2825806.45,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
